date	value
01	 0
02	43
03	15
05	 0
06	18
07	12
08	176
09	85
10	34
11	14
12	19
13	140
14	19
15	80
16	17
17	 0
18	47
19	 0
20	 0
21	 0
22	 0
23	 0
24	86
25	 3
26	31
27	 1
28	82
29	150
30	83
31	 2
