date,gem,min,max
2016/03/09,40,2,83
2016/03/10,37,-7,82
2016/03/11,21,-19,52
2016/03/12,27,-33,74
2016/03/13,28,-21,68
2016/03/14,34,-24,101
2016/03/15,38,-16,76
2016/03/16,44,1,88
2016/03/17,46,-41,123
2016/03/18,45,11,62
2016/03/19,56,45,74
2016/03/20,62,40,80
2016/03/21,68,57,87
2016/03/22,72,49,97
2016/03/23,70,48,106
2016/03/24,63,18,91
2016/03/25,72,60,99
2016/03/26,93,5,152
2016/03/27,98,61,129
2016/03/28,94,73,130
2016/03/29,72,52,108
2016/03/30,83,37,125
2016/03/31,70,24,111
2016/04/01,74,-5,132
2016/04/02,108,25,149
2016/04/03,155,110,202
2016/04/04,129,54,177
2016/04/05,95,50,117
2016/04/06,85,50,118
2016/04/07,63,45,99
2016/04/08,66,19,115
2016/04/09,92,-9,150
2016/04/10,115,52,168
2016/04/11,117,66,170
2016/04/12,122,76,187
2016/04/13,92,19,151
2016/04/14,100,20,163
2016/04/15,96,70,135
2016/04/16,92,28,145
2016/04/17,58,12,99
2016/04/18,77,6,127
2016/04/19,91,13,141
2016/04/20,70,-15,133
2016/04/21,89,10,162
2016/04/22,77,18,132
2016/04/23,52,1,100
2016/04/24,31,-10,82
2016/04/25,35,-11,90
2016/04/26,33,1,82
2016/04/27,51,12,99
2016/04/28,50,1,106
2016/04/29,70,33,96
2016/04/30,80,31,130
2016/05/01,77,7,140
