date,gem,min,max
2015/05/01,77,20,135
2015/05/02,88,-1,154
2015/05/03,132,56,188
2015/05/04,155,113,197
2015/05/05,159,94,245
2015/05/06,122,96,173
2015/05/07,111,61,159
2015/05/08,132,64,190
2015/05/09,138,91,170
2015/05/10,127,68,178
2015/05/11,177,95,252
2015/05/12,145,91,207
2015/05/13,120,44,185
2015/05/14,99,45,149
2015/05/15,95,34,158
2015/05/16,84,28,141
2015/05/17,107,30,167
2015/05/18,116,18,173
2015/05/19,102,57,147
2015/05/20,97,53,152
2015/05/21,108,43,171
2015/05/22,142,52,205
2015/05/23,117,54,155
2015/05/24,125,13,197
2015/05/25,124,91,169
2015/05/26,104,46,145
2015/05/27,134,82,178
2015/05/28,121,39,168
2015/05/29,115,34,171
2015/05/30,101,30,160
2015/05/31,131,39,189
2015/06/01,124,74,168
2015/06/02,155,123,188
2015/06/03,141,65,183
2015/06/04,155,45,219
2015/06/05,227,130,319
2015/06/06,164,64,211
2015/06/07,136,44,206
2015/06/08,114,39,184
2015/06/09,116,44,169
2015/06/10,154,70,219
2015/06/11,173,82,241
2015/06/12,207,102,278
2015/06/13,190,158,223
2015/06/14,148,117,177
2015/06/15,127,53,185
2015/06/16,98,27,156
2015/06/17,152,30,218
2015/06/18,149,109,191
2015/06/19,119,96,157
2015/06/20,120,86,150
2015/06/21,135,96,174
2015/06/22,116,82,155
2015/06/23,114,63,142
2015/06/24,144,102,201
2015/06/25,183,95,246
2015/06/26,201,138,253
2015/06/27,176,99,225
2015/06/28,168,74,220
2015/06/29,187,118,247
2015/06/30,201,97,266
2015/07/01,250,154,319
2015/07/02,272,195,361
2015/07/03,245,182,300
2015/07/04,265,185,343
2015/07/05,205,153,298
2015/07/06,185,131,241
2015/07/07,214,124,286
2015/07/08,158,124,184
2015/07/09,125,52,177
2015/07/10,151,48,224
2015/07/11,205,133,279
2015/07/12,172,144,202
2015/07/13,169,158,195
2015/07/14,182,134,231
2015/07/15,179,123,221
2015/07/16,196,153,250
2015/07/17,231,168,296
2015/07/18,181,114,237
2015/07/19,158,116,198
2015/07/20,180,80,236
2015/07/21,211,145,260
2015/07/22,193,135,252
2015/07/23,172,108,225
2015/07/24,191,119,257
2015/07/25,154,114,209
2015/07/26,150,95,215
2015/07/27,160,132,192
2015/07/28,154,132,200
2015/07/29,135,106,166
2015/07/30,139,89,193
2015/07/31,134,76,193
2015/08/01,157,70,233
2015/08/02,179,72,246
2015/08/03,239,154,322
2015/08/04,170,104,199
2015/08/05,182,83,250
2015/08/06,223,147,316
2015/08/07,208,145,267
2015/08/08,183,119,230
2015/08/09,179,96,236
2015/08/10,173,130,212
2015/08/11,192,110,255
2015/08/12,191,154,229
2015/08/13,218,148,276
2015/08/14,212,171,266
2015/08/15,200,163,260
2015/08/16,151,133,163
2015/08/17,147,133,157
2015/08/18,141,98,168
2015/08/19,156,97,222
2015/08/20,171,101,241
2015/08/21,187,115,254
2015/08/22,200,131,259
2015/08/23,203,147,255
2015/08/24,190,154,244
2015/08/25,162,140,200
2015/08/26,211,156,263
2015/08/27,161,135,195
2015/08/28,153,98,211
2015/08/29,168,78,240
2015/08/30,198,143,252
2015/08/31,227,182,293
2015/09/01,156,112,192
2015/09/02,131,98,184
2015/09/03,126,68,184
2015/09/04,133,103,175
2015/09/05,126,95,169
2015/09/06,126,94,160
2015/09/07,141,121,178
2015/09/08,132,74,170
2015/09/09,120,56,181
2015/09/10,137,84,186
2015/09/11,139,78,193
2015/09/12,155,102,211
2015/09/13,171,153,191
2015/09/14,157,113,201
2015/09/15,128,96,170
2015/09/16,153,116,179
2015/09/17,149,118,170
2015/09/18,137,103,184
2015/09/19,134,92,178
2015/09/20,130,79,174
2015/09/21,142,110,183
2015/09/22,124,107,148
2015/09/23,131,94,176
2015/09/24,127,102,162
2015/09/25,121,57,167
2015/09/26,99,41,169
2015/09/27,104,29,167
2015/09/28,116,62,170
2015/09/29,107,44,163
2015/09/30,112,66,171
2015/10/01,95,17,165
2015/10/02,99,14,177
2015/10/03,110,38,187
2015/10/04,120,52,185
2015/10/05,141,83,191
2015/10/06,150,126,181
2015/10/07,148,128,175
2015/10/08,134,116,150
2015/10/09,124,102,155
2015/10/10,95,43,131
2015/10/11,56,18,104
2015/10/12,43,5,84
2015/10/13,34,9,53
2015/10/14,41,27,46
2015/10/15,63,43,75
2015/10/16,67,61,76
2015/10/17,73,44,90
2015/10/18,63,32,77
2015/10/19,80,43,118
2015/10/20,85,47,126
2015/10/21,95,60,117
2015/10/22,112,78,138
2015/10/23,105,69,150
2015/10/24,112,102,129
2015/10/25,95,32,138
2015/10/26,105,55,149
2015/10/27,95,59,156
2015/10/28,81,31,114
2015/10/29,110,50,150
2015/10/30,97,34,148
2015/10/31,91,43,150
2015/11/01,74,22,155
2015/11/02,44,16,89
2015/11/03,67,-16,154
2015/11/04,117,34,174
2015/11/05,134,101,150
2015/11/06,148,135,166
2015/11/07,165,148,184
2015/11/08,137,102,171
2015/11/09,135,117,162
2015/11/10,136,129,146
2015/11/11,121,110,132
2015/11/12,128,114,149
2015/11/13,110,67,138
2015/11/14,81,60,97
2015/11/15,131,96,146
2015/11/16,121,110,131
2015/11/17,131,101,154
2015/11/18,121,98,134
2015/11/19,106,77,132
2015/11/20,68,37,88
2015/11/21,36,9,50
2015/11/22,20,-6,49
2015/11/23,29,-28,64
2015/11/24,25,10,34
2015/11/25,49,19,77
2015/11/26,25,-19,83
2015/11/27,41,6,67
2015/11/28,58,34,73
2015/11/29,91,64,120
2015/11/30,83,58,119
2015/12/01,85,46,114
2015/12/02,104,83,114
2015/12/03,91,74,103
2015/12/04,87,73,99
2015/12/05,74,64,82
2015/12/06,95,65,114
2015/12/07,101,82,115
2015/12/08,106,67,137
2015/12/09,69,53,102
2015/12/10,55,35,74
2015/12/11,60,42,78
2015/12/12,65,37,111
2015/12/13,59,20,107
2015/12/14,70,43,103
2015/12/15,62,38,82
2015/12/16,103,73,124
2015/12/17,132,121,147
2015/12/18,118,105,136
2015/12/19,123,104,140
2015/12/20,121,113,131
2015/12/21,104,93,120
2015/12/22,122,101,138
2015/12/23,101,71,128
2015/12/24,100,60,133
2015/12/25,92,67,129
2015/12/26,126,104,140
2015/12/27,113,95,127
2015/12/28,92,44,122
2015/12/29,79,42,106
2015/12/30,66,40,96
2015/12/31,70,40,101
2016/01/01,48,14,70
2016/01/02,33,25,44
2016/01/03,35,24,53
2016/01/04,3,-14,26
2016/01/05,3,-26,30
2016/01/06,-26,-32,-17
2016/01/07,30,-18,65
2016/01/08,48,15,77
2016/01/09,46,13,75
2016/01/10,69,46,90
2016/01/11,49,26,62
2016/01/12,55,36,68
2016/01/13,43,16,69
2016/01/14,27,7,42
2016/01/15,17,-2,29
2016/01/16,8,-14,32
2016/01/17,-26,-71,5
2016/01/18,-40,-79,-3
2016/01/19,-39,-101,-9
2016/01/20,1,-37,36
2016/01/21,-11,-31,6
2016/01/22,-4,-43,26
2016/01/23,56,20,66
2016/01/24,67,48,95
2016/01/25,108,81,139
2016/01/26,95,72,110
2016/01/27,103,91,116
2016/01/28,59,30,102
2016/01/29,73,37,91
2016/01/30,66,29,92
2016/01/31,51,23,92
2016/02/01,109,90,119
2016/02/02,82,53,112
2016/02/03,40,22,71
2016/02/04,34,19,42
2016/02/05,74,31,100
2016/02/06,93,81,103
2016/02/07,88,63,113
2016/02/08,79,63,104
2016/02/09,47,2,76
2016/02/10,39,17,66
2016/02/11,30,-6,76
2016/02/12,27,-5,67
2016/02/13,19,-17,46
2016/02/14,12,2,27
2016/02/15,2,-40,35
2016/02/16,-10,-59,44
2016/02/17,-17,-52,37
2016/02/18,17,-44,52
2016/02/19,26,10,51
2016/02/20,71,42,102
2016/02/21,98,76,114
2016/02/22,63,33,103
2016/02/23,36,-5,88
2016/02/24,18,-16,70
2016/02/25,3,-30,59
2016/02/26,11,-21,56
2016/02/27,13,-19,63
2016/02/28,11,-44,66
2016/02/29,3,-49,63
2016/03/01,7,-60,57
2016/03/02,53,28,76
2016/03/03,29,-15,68
2016/03/04,16,-4,36
2016/03/05,13,-28,57
2016/03/06,13,-43,70
2016/03/07,19,-31,68
2016/03/08,25,-30,84
