date,gem,min,max
2016/01/01,41,-2,75
2016/01/02,54,46,63
2016/01/03,69,52,82
2016/01/04,57,38,70
2016/01/05,68,47,77
2016/01/06,26,16,47
2016/01/07,61,35,79
2016/01/08,54,14,83
2016/01/09,56,10,79
2016/01/10,69,50,90
2016/01/11,48,21,67
2016/01/12,58,47,72
2016/01/13,50,24,70
2016/01/14,35,16,53
2016/01/15,24,-12,40
2016/01/16,27,-16,56
2016/01/17,-10,-56,30
2016/01/18,-33,-67,0
2016/01/19,-25,-80,7
2016/01/20,12,-37,53
2016/01/21,-12,-43,15
2016/01/22,9,-22,57
2016/01/23,66,28,90
2016/01/24,77,50,104
2016/01/25,107,74,146
2016/01/26,92,66,111
2016/01/27,109,86,124
2016/01/28,67,49,90
2016/01/29,85,53,100
2016/01/30,74,51,99
2016/01/31,68,36,108
2016/02/01,115,106,119
2016/02/02,89,65,114
2016/02/03,50,31,70
2016/02/04,51,29,77
2016/02/05,87,50,109
2016/02/06,94,83,106
2016/02/07,85,66,111
2016/02/08,85,70,99
2016/02/09,53,33,82
2016/02/10,48,18,83
2016/02/11,38,-16,83
2016/02/12,27,-17,66
2016/02/13,18,-20,44
2016/02/14,14,5,26
2016/02/15,23,-31,56
2016/02/16,-3,-50,61
2016/02/17,-13,-52,35
2016/02/18,13,-23,31
2016/02/19,39,12,83
2016/02/20,82,50,111
2016/02/21,104,86,116
2016/02/22,68,44,113
2016/02/23,43,8,79
2016/02/24,23,-14,65
2016/02/25,18,-10,54
2016/02/26,21,-7,55
2016/02/27,22,-16,63
2016/02/28,22,-17,66
2016/02/29,13,-43,67
2016/03/01,20,-54,86
2016/03/02,53,27,90
2016/03/03,39,-4,84
2016/03/04,10,-25,32
2016/03/05,5,-45,64
2016/03/06,30,7,73
2016/03/07,25,-8,78
2016/03/08,36,-22,83
2016/03/09,44,14,81
2016/03/10,41,-12,92
2016/03/11,32,-15,85
2016/03/12,31,-27,101
2016/03/13,39,-16,99
2016/03/14,41,-20,104
2016/03/15,46,-6,83
2016/03/16,44,-2,90
2016/03/17,57,0,120
2016/03/18,52,24,68
2016/03/19,62,51,75
2016/03/20,68,42,96
2016/03/21,72,58,93
2016/03/22,76,46,101
2016/03/23,76,62,101
2016/03/24,79,66,99
2016/03/25,65,0,96
2016/03/26,95,6,149
2016/03/27,91,55,133
2016/03/28,97,75,129
2016/03/29,78,55,112
2016/03/30,81,43,117
2016/03/31,76,31,116
2016/04/01,72,12,130
2016/04/02,101,37,134
2016/04/03,152,121,204
2016/04/04,124,75,158
